text	label
ইনিই হচ্ছেন ভারতের প্রতিরক্ষামন্ত্রী মনোহর পারিকর  এই কদিন আগেই যিনি ঘোষনা দেন বাংলাদেশ দখল করে মহাভারত গঠন করবেন আশ্চর্য তিনিই কিনা আমাদের বরেন্য রাষ্ট্রীয় অতিথি	Geopolitical
 রেন্ডিয়াকে পৃথীবির মানচিএ থেকে মুচে ফেলতে হবে  	Geopolitical
এই মালাউনরা বাংগালিদের সাফল্য দেখে হিংসা করে বাহির দেশে বাংলাদেশীদের দেখতে পারেনা এই একটি মাএ জাতি সুতরাং সাবধান 	Religious
আমরা বলতে কারা ভারত তাইতো 	Geopolitical
পাকিস্তান আমার বাল 	Geopolitical
তোদের মতো কুত্তার বাচ্চারা সোনিকার মতো মেয়েরা পাইলে শিওর গ্যাংব্যাং দিবি	Personal
খানকির পোলা রোহিঙ্গারা বাংলাদেশে ঢুকলে কি তোর কোন সমস্যা 	Gender abusive
ভারত মোদের বাঁশভাই দাদারা আসারদরকার নাই ও আশামানে যেকোনভাবে বাংদেশেরকে বাশদিয়েজাবে 	Geopolitical
এদের কে চোদ্দ বছরে ফাসি দেয়া হোক	Personal
এজন্য ভারত বাংলাদেশে এসে হোয়াইট ওয়াস হয়েগেছে মনে নেই 	Geopolitical
খানকির পোলাদের মাইরা ফালা রোহিঙ্গা সব বিতাড়িত করা দরকার 	Geopolitical
অস্ত্র নির্মান কোন ছোটখাট বিষয় নয় ইহা ভারতিও রাস্টিয় সহায়তা ছারা সম্বভ না	Geopolitical
এইসব ঐক্যধারীরা বাংলাদেশের একটা ওয়ার্ডের চৌকিদার হওয়ারো যোগ্যতা রাখে না   	Political
রাজাকার ভাই আপনি খুব উপযুক্ত	Political
আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস 	Personal
মাহি বি চোধুরী  এ তো দেখি পুরাই আওয়ামী দালাল   	Political
যখন পাকিস্তানের দখলে ছিল বাংলাদেশ তখন কিরকম অতযাচার করেছিল পাকিস্তান 	Geopolitical
সত্য ঘটনা  একবার নিবেদিতা হরিয়ানার ময়দানে ইজি চেয়ারে গভীর রাতে বসেছিলেন হঠাত তিনি শুনতে পান যদাযদাহি তাঁর মনে হল ঐ ময় দানের বাঁদিক থেকে ওই মন্ত্র উচ্চারিত হচ্ছে   তিনি ছুটে যান ঐদিকে কিন্তু না অন্য প্রান্তে থেকে সুর ভেসে আসে পরে তিনি মাঝখানে এলেন তিনি শুনতে পেলেন সকল দিক থেকে সুর ভেসে আসছে  তিনি বললেন মহাভারত সত্য কৃষ্ণ সত্য যুদ্ধ সত্য  তিনি আপত্ত জন তাই তাঁর কথা বিশ্বাস করতে ই হবে   প্রমাণের দরকার হয় না  	Geopolitical
জাহান্নামের কীট ভারতীয় মালাউন টা না মরে হাজার মরলে বেশী খুশি হতাম 	Geopolitical
সালা পাগল হিন্দু রা বাংলাদেশে যেভাবে শান্তিতে থাকে ভারতেও এভাবে থাকে না	Religious
সাবাস পাকিস্তান বাংলাদেশ যেখানে ভারতীয় জানোয়ার গুলির	Geopolitical
কিছুই হবেনা  সব মিডিয়ার বাড়াবাড়ি  ভারত পাকিস্তানকে পাগলা কুত্তায় কামড়ায়নি যে একজন আরেকজনকে ভয়াবহ আক্রমণ করবে  ওইরকম মাঝেমাঝে দুইচারআটদশজন মরবে  তার বেশিকিছু হবেনা	Geopolitical
আজকের সো বালের হইছে  জমে নাই 	Personal
মানুষের জীবনটা অভিনয় তবে আপনাদের অভিনয় দেখার জন্য লক্ষ কোটি মানুষ পাগল  বাংলাদেশের বাংলা সিনেমার তারকাদের অভিনয় জনপ্রিয় হয় ওঠেছে  বাংলাদেশের বাংলা সিনেমায় জনপ্রিয় অভিনেতা অভিনেত্রী জম্ম হয়েছে  বর্তমানের বাংলাদেশের বাংলা সিনেমা ভারতীয় সিনেমার চেয়ে কোনো অংশে কম নয়  অবশেষে ভারতের সাথে যৌথ পরিচালনা সিনেমা করাতে ভারতে ও বাংলাদেশের বাংলা সিনেমার জনপ্রিয় হচ্ছে  দুই বাংলা এক সাথে কাজ করা	Geopolitical
ভারত আসলে পাকিস্তান কে কি পরিমাণ ভয় পায় তা আর বলার অপেক্ষা রাখেনা	Geopolitical
 ছাএ শিবিরের সময় উপযোগী একটি উদোগ  বিরোধিতার জন্য রিরোধিতা না করে সকলে একত্রে এই কমসূচি তে অংশগ্রহন করা দরকার  বারমার মুসলমানরা আওয়ামিলীগ বিএনপি বা জামাতের না  তারা পৃথিবী সকল মুসলমানদের ভাই বোন  	Political
অন্যের ফাসি নিয়ে কতটা ভয়ংকর হয়ে উঠেছিল এই দিয়াজ আজ সে নিজেই ফাসিতে ঝুলতে হল  পাপে বাপ কে ছাড়েনা বুঝলেন 	Personal
